Designator,Mid X,Mid Y,Rotation,Layer
B1,198.4375,-106.3625,180.0,top
B2,198.4375,-110.33125,180.0,top
C1,201.6125,-81.75625,180.0,top
C2,197.64375,-81.75625,180.0,top
D1,96.8375,-80.9625,90.0,bottom
D10,153.9875,-100.0125,90.0,bottom
D11,173.0375,-100.0125,90.0,bottom
D12,189.70625,-103.1875,0.0,bottom
D13,96.8375,-119.0625,90.0,bottom
D14,115.8875,-119.0625,90.0,bottom
D15,134.9375,-119.0625,90.0,bottom
D16,153.9875,-119.0625,90.0,bottom
D17,173.0375,-119.0625,90.0,bottom
D18,186.53125,-122.2375,0.0,bottom
D2,115.8875,-80.9625,90.0,bottom
D20,161.13125,-122.2375,0.0,bottom
D21,180.18125,-122.2375,0.0,bottom
D22,191.29375,-122.2375,180.0,bottom
D23,201.6125,-123.825,270.0,bottom
D3,134.9375,-80.9625,90.0,bottom
D4,153.9875,-80.9625,90.0,bottom
D5,173.0375,-80.9625,90.0,bottom
D6,189.70625,-84.1375,0.0,bottom
D7,96.8375,-100.0125,90.0,bottom
D8,115.8875,-100.0125,90.0,bottom
D9,134.9375,-100.0125,90.0,bottom
J1,202.45625,-63.81925,180.0,top
J2,210.0245,-108.79375,90.0,top
L1,203.2,-96.8375,180.0,top
R1,201.1025,-96.8375,0.0,top
R2,207.9625,-91.28125,270.0,top
R3,197.64375,-78.58125,270.0,top
R4,200.025,-78.58125,270.0,top
R5,202.40625,-78.58125,90.0,top
R6,207.9625,-95.25,90.0,top
SW1,87.3125,-73.81875,0.0,top
SW10,144.4625,-92.86875,0.0,top
SW11,163.5125,-92.86875,0.0,top
SW12,182.5625,-92.86875,0.0,top
SW13,87.3125,-111.91875,0.0,top
SW14,106.3625,-111.91875,0.0,top
SW15,125.4125,-111.91875,0.0,top
SW16,144.4625,-111.91875,0.0,top
SW17,163.5125,-111.91875,0.0,top
SW18,182.5625,-111.91875,0.0,top
SW2,106.3625,-73.81875,0.0,top
SW20,153.9704,-130.96715,0.0,top
SW21,173.0204,-130.96875,0.0,top
SW22,192.0704,-130.96875,0.0,top
SW23,211.1204,-130.96875,0.0,top
SW3,125.4125,-73.81875,0.0,top
SW4,144.4625,-73.81875,0.0,top
SW5,163.5125,-73.81875,0.0,top
SW6,182.5625,-73.81875,0.0,top
SW7,87.3125,-92.86875,0.0,top
SW8,106.3625,-92.86875,0.0,top
SW9,125.4125,-92.86875,0.0,top
U1,197.4875,-94.00625,270.0,top
U2,206.375,-78.58125,90.0,top
U3,207.16875,-84.93125,90.0,top
U4,199.23125,-87.3125,0.0,top
